-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(4096)_generation_0(0)         0.80%     274.588ms         1.01%     346.423ms     346.423ms       0.000us         0.00%       23.561s       23.561s           0 B          -1 B      32.07 MB      -4.53 GB             1  
                                            aten::zero_         0.00%     456.727us         0.01%       4.490ms      46.768us       0.000us         0.00%      75.004us       0.781us           0 B           0 B           0 B           0 B            96  
                                       cudaLaunchKernel         0.63%     216.081ms        19.65%        6.756s     190.030us       0.000us         0.00%       5.035ms       0.142us           0 B           0 B           0 B           0 B         35552  
                                            aten::empty         0.38%     129.067ms         0.38%     129.088ms       2.992us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      24.13 GB      24.13 GB         43138  
                                          cudaHostAlloc         0.00%       1.530ms         0.00%       1.530ms     139.064us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            11  
                                               aten::to         0.01%       2.187ms         0.06%      19.992ms       4.250us       0.000us         0.00%       1.211ms       0.257us           0 B           0 B      12.06 MB           0 B          4704  
                                       aten::lift_fresh         0.00%      56.057us         0.00%      56.057us       0.193us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           290  
                                          aten::detach_         0.00%       0.691us         0.00%       0.691us       0.345us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                         aten::_to_copy         0.01%       2.176ms         0.05%      17.805ms      18.508us       0.000us         0.00%       1.211ms       1.259us           0 B           0 B      12.06 MB           0 B           962  
                                    aten::empty_strided         0.12%      42.075ms         0.13%      43.979ms       4.254us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       1.06 GB       1.06 GB         10338  
                                        cudaMemcpyAsync         0.26%      90.544ms         0.26%      90.544ms       8.470us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         10690  
                                         cudaEventQuery         0.00%     395.659us         0.00%     395.659us       0.703us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           563  
                                            aten::slice         0.09%      31.441ms         0.12%      40.575ms       1.561us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         25987  
